year,category,prize,motivation,prize_share,laureate_id,laureate_type,full_name,laureats_name,prize_winning_abbreviations,birth_date,birth_city,birth_country,sex,organization_name,organization_city,organization_country,death_date,death_city,death_country
1946,Chemistry,The Nobel Prize in Chemistry 1946,"""for his discovery that enzymes can be crystallized""",1月2日,204,Individual,James Batcheller Sumner,James B. Sumner,"sumner, j",1887-11-19,"Canton, MA",United States of America,Male,Cornell University,"Ithaca, NY",United States of America,1955/8/12,"Buffalo, NY",United States of America
1946,Chemistry,The Nobel Prize in Chemistry 1946,"""for their preparation of enzymes and virus proteins in a pure form""",1月4日,205,Individual,John Howard Northrop,John H. Northrop,"northrop, j",1891-07-05,"Yonkers, NY",United States of America,Male,Rockefeller Institute for Medical Research,"Princeton, NJ",United States of America,1987/5/27,"Wickenberg, AZ",United States of America
1946,Chemistry,The Nobel Prize in Chemistry 1946,"""for their preparation of enzymes and virus proteins in a pure form""",1月4日,206,Individual,Wendell Meredith Stanley,Wendell M. Stanley,"stanley, w",1904/8/16,"Ridgeville, IN",United States of America,Male,Rockefeller Institute for Medical Research,"Princeton, NJ",United States of America,1971/6/15,Salamanca,Spain
1946,Literature,The Nobel Prize in Literature 1946,"""for his inspired writings which, while growing in boldness and penetration, exemplify the classical humanitarian ideals and high qualities of style""",1月1日,617,Individual,Hermann Hesse,,,1877-07-02,Calw,Germany,Male,NA,NA,NA,1962/8/9,Montagnola,Switzerland
1946,Medicine,The Nobel Prize in Physiology or Medicine 1946,"""for the discovery of the production of mutations by means of X-ray irradiation""",1月1日,342,Individual,Hermann Joseph Muller,Hermann J. Muller,"muller, hj",1890-12-21,"New York, NY",United States of America,Male,Indiana University,"Bloomington, IN",United States of America,1967/4/5,NA,NA
1946,Peace,The Nobel Peace Prize 1946,NA,1月2日,506,Individual,Emily Greene Balch,,,1867-01-08,"Jamaica Plain, MA (Boston)",United States of America,Female,NA,NA,NA,1961/1/9,"Cambridge, MA",United States of America
1946,Peace,The Nobel Peace Prize 1946,NA,1月2日,507,Individual,John Raleigh Mott,,,1865-05-25,"Livingston Manor, NY",United States of America,Male,NA,NA,NA,1955/1/31,NA,United States of America
1946,Physics,The Nobel Prize in Physics 1946,"""for the invention of an apparatus to produce extremely high pressures, and for the discoveries he made therewith in the field of high pressure physics""",1月1日,51,Individual,Percy Williams Bridgman,Percy W. Bridgman,"bridgman, pw",1882-04-21,"Cambridge, MA",United States of America,Male,Harvard University,"Cambridge, MA",United States of America,1961/8/20,"Randolph, NH",United States of America
1947,Chemistry,The Nobel Prize in Chemistry 1947,"""for his investigations on plant products of biological importance, especially the alkaloids""",1月1日,207,Individual,Sir Robert Robinson,Sir Robert Robinson,"robinson, r",1886-09-13,"Rufford, near Chesterfield",United Kingdom,Male,University of Oxford,Oxford,United Kingdom,1975/2/8,Great Missenden,United Kingdom
1947,Literature,The Nobel Prize in Literature 1947,"""for his comprehensive and artistically significant writings, in which human problems and conditions have been presented with a fearless love of truth and keen psychological insight""",1月1日,618,Individual,André Paul Guillaume Gide,,,1869-11-22,Paris,France,Male,NA,NA,NA,1951/2/19,Paris,France
1947,Medicine,The Nobel Prize in Physiology or Medicine 1947,"""for their discovery of the course of the catalytic conversion of glycogen""",1月4日,343,Individual,Carl Ferdinand Cori,Carl Cori,"cori, cf",1896-12-05,Prague,Austria-Hungary (Czech Republic),Male,Washington University,"St. Louis, MO",United States of America,1984/10/20,"Cambridge, MA",United States of America
1947,Medicine,The Nobel Prize in Physiology or Medicine 1947,"""for their discovery of the course of the catalytic conversion of glycogen""",1月4日,344,Individual,"Gerty Theresa Cori, née Radnitz",Gerty Cori,"cori, gt",1896-08-15,Prague,Austria-Hungary (Czech Republic),Female,Washington University,"St. Louis, MO",United States of America,1957/10/26,"St. Louis, MO",United States of America
1947,Medicine,The Nobel Prize in Physiology or Medicine 1947,"""for his discovery of the part played by the hormone of the anterior pituitary lobe in the metabolism of sugar""",1月2日,345,Individual,Bernardo Alberto Houssay,Bernardo Houssay,"houssay, ba",1887-04-10,Buenos Aires,Argentina,Male,Instituto de Biologia y Medicina Experimental (Institute for Biology and Experimental Medicine),Buenos Aires,Argentina,1971/9/21,Buenos Aires,Argentina
1947,Peace,The Nobel Peace Prize 1947,NA,1月2日,508,Organization,Friends Service Council (The Quakers),,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1947,Peace,The Nobel Peace Prize 1947,NA,1月2日,509,Organization,American Friends Service Committee (The Quakers),,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1947,Physics,The Nobel Prize in Physics 1947,"""for his investigations of the physics of the upper atmosphere especially for the discovery of the so-called Appleton layer""",1月1日,52,Individual,Sir Edward Victor Appleton,Edward V. Appleton,"appleton, ev",1892-09-06,Bradford,United Kingdom,Male,Department of Scientific and Industrial Research,London,United Kingdom,1965/4/21,Edinburgh,Scotland
1948,Chemistry,The Nobel Prize in Chemistry 1948,"""for his research on electrophoresis and adsorption analysis, especially for his discoveries concerning the complex nature of the serum proteins""",1月1日,208,Individual,Arne Wilhelm Kaurin Tiselius,Arne Tiselius,"tiselius, a",1902/8/10,Stockholm,Sweden,Male,Uppsala University,Uppsala,Sweden,1971/10/29,Uppsala,Sweden
1948,Literature,The Nobel Prize in Literature 1948,"""for his outstanding, pioneer contribution to present-day poetry""",1月1日,619,Individual,Thomas Stearns Eliot,,,1888-09-26,"St. Louis, MO",United States of America,Male,NA,NA,NA,1965/1/4,London,United Kingdom
1948,Medicine,The Nobel Prize in Physiology or Medicine 1948,"""for his discovery of the high efficiency of DDT as a contact poison against several arthropods""",1月1日,346,Individual,Paul Hermann Müller,Paul M¨1ller,"muller, p",1899-01-12,Olten,Switzerland,Male,Laboratorium der Farben-Fabriken J.R. Geigy A.G. (Laboratory of the J.R. Geigy Dye-Factory Co.),Basel,Switzerland,1965/10/12,Basel,Switzerland
1948,Physics,The Nobel Prize in Physics 1948,"""for his development of the Wilson cloud chamber method, and his discoveries therewith in the fields of nuclear physics and cosmic radiation""",1月1日,53,Individual,Patrick Maynard Stuart Blackett,Patrick M.S. Blackett,"blackett, pms",1897-11-18,London,United Kingdom,Male,Victoria University,Manchester,United Kingdom,1974/7/13,London,United Kingdom
1949,Chemistry,The Nobel Prize in Chemistry 1949,"""for his contributions in the field of chemical thermodynamics, particularly concerning the behaviour of substances at extremely low temperatures""",1月1日,209,Individual,William Francis Giauque,William F. Giauque,"giauque, w",1895-05-12,Niagara Falls,Canada,Male,University of California,"Berkeley, CA",United States of America,1982/3/28,"Berkeley, CA",United States of America
1949,Literature,The Nobel Prize in Literature 1949,"""for his powerful and artistically unique contribution to the modern American novel""",1月1日,620,Individual,William Faulkner,,,1897-09-25,"New Albany, MS",United States of America,Male,NA,NA,NA,1962/7/6,"Byhalia, MS",United States of America
1949,Medicine,The Nobel Prize in Physiology or Medicine 1949,"""for his discovery of the functional organization of the interbrain as a coordinator of the activities of the internal organs""",1月2日,347,Individual,Walter Rudolf Hess,Walter Hess,"hess, wr",1881-03-17,Frauenfeld,Switzerland,Male,University of Zurich,Zurich,Switzerland,1973/8/12,Ascona,Switzerland
1949,Medicine,The Nobel Prize in Physiology or Medicine 1949,"""for his discovery of the therapeutic value of leucotomy in certain psychoses""",1月2日,348,Individual,Antonio Caetano de Abreu Freire Egas Moniz,Egas Moniz,"moniz, e",1874-11-29,Avanca,Portugal,Male,University of Lisbon,Lisbon,Portugal,1955/12/13,Lisbon,Portugal
1949,Peace,The Nobel Peace Prize 1949,NA,1月1日,510,Individual,Lord (John) Boyd Orr of Brechin,,,1880-09-23,Kilmaurs,Scotland,Male,NA,NA,NA,1971/6/25,Edzell,Scotland
1949,Physics,The Nobel Prize in Physics 1949,"""for his prediction of the existence of mesons on the basis of theoretical work on nuclear forces""",1月1日,54,Individual,Hideki Yukawa,Hideki Yukawa,"yukawa, h",1907/1/23,Tokyo,Japan,Male,Kyoto Imperial University,Kyoto,Japan,1981/9/8,Kyoto,Japan
1950,Chemistry,The Nobel Prize in Chemistry 1950,"""for their discovery and development of the diene synthesis""",1月2日,210,Individual,Otto Paul Hermann Diels,Otto Diels,"diels, o",1876-01-23,Hamburg,Germany,Male,Kiel University,Kiel,Federal Republic of Germany,1954/3/7,Kiel,West Germany (Germany)
1950,Chemistry,The Nobel Prize in Chemistry 1950,"""for their discovery and development of the diene synthesis""",1月2日,211,Individual,Kurt Alder,Kurt Alder,"alder, k",1902/7/10,K?nigshütte (Chorzów),Prussia (Poland),Male,Cologne University,Cologne,Federal Republic of Germany,1958/6/20,Cologne,West Germany (Germany)
1950,Literature,The Nobel Prize in Literature 1950,"""in recognition of his varied and significant writings in which he champions humanitarian ideals and freedom of thought""",1月1日,621,Individual,Earl (Bertrand Arthur William) Russell,,,1872-05-18,Trelleck,United Kingdom,Male,NA,NA,NA,1970/2/2,Penrhyndeudraeth,United Kingdom
1950,Medicine,The Nobel Prize in Physiology or Medicine 1950,"""for their discoveries relating to the hormones of the adrenal cortex, their structure and biological effects""",1月3日,349,Individual,Edward Calvin Kendall,Edward C. Kendall,"kendall, ec",1886-03-08,"South Norwalk, CT",United States of America,Male,Mayo Clinic,"Rochester, MN",United States of America,1972/5/4,"Princeton, NJ",United States of America
1950,Medicine,The Nobel Prize in Physiology or Medicine 1950,"""for their discoveries relating to the hormones of the adrenal cortex, their structure and biological effects""",1月3日,350,Individual,Tadeus Reichstein,Tadeus Reichstein,"reichstein, t",1897-07-20,Wloclawek,Poland,Male,Basel University,Basel,Switzerland,1996/8/1,Basel,Switzerland
1950,Medicine,The Nobel Prize in Physiology or Medicine 1950,"""for their discoveries relating to the hormones of the adrenal cortex, their structure and biological effects""",1月3日,351,Individual,Philip Showalter Hench,Philip S. Hench,"hench, ps",1896-02-28,"Pittsburgh, PA",United States of America,Male,Mayo Clinic,"Rochester, MN",United States of America,1965/3/30,Ocho Rios,Jamaica
1950,Peace,The Nobel Peace Prize 1950,NA,1月1日,511,Individual,Ralph Bunche,,,1904/8/7,"Detroit, MI",United States of America,Male,Harvard University,"Cambridge, MA",United States of America,1971/12/9,"New York, NY",United States of America
1950,Physics,The Nobel Prize in Physics 1950,"""for his development of the photographic method of studying nuclear processes and his discoveries regarding mesons made with this method""",1月1日,55,Individual,Cecil Frank Powell,Cecil Powell,"powell, cf",1903/12/5,Tonbridge,United Kingdom,Male,Bristol University,Bristol,United Kingdom,1969/8/9,NA,Italy
1951,Chemistry,The Nobel Prize in Chemistry 1951,"""for their discoveries in the chemistry of the transuranium elements""",1月2日,212,Individual,Edwin Mattison McMillan,Edwin M. McMillan,"mcmillan, e",1907/9/18,"Redondo Beach, CA",United States of America,Male,University of California,"Berkeley, CA",United States of America,1991/9/7,"El Cerrito, CA",United States of America
1951,Chemistry,The Nobel Prize in Chemistry 1951,"""for their discoveries in the chemistry of the transuranium elements""",1月2日,213,Individual,Glenn Theodore Seaborg,Glenn T. Seaborg,"seaborg, g",1912/4/19,"Ishpeming, MI",United States of America,Male,University of California,"Berkeley, CA",United States of America,1999/2/25,"Lafayette, CA",United States of America
1951,Literature,The Nobel Prize in Literature 1951,"""for the artistic vigour and true independence of mind with which he endeavours in his poetry to find answers to the eternal questions confronting mankind""",1月1日,622,Individual,P?r Fabian Lagerkvist,,,1891-05-23,V?xj?,Sweden,Male,NA,NA,NA,1974/7/11,Stockholm,Sweden
1951,Medicine,The Nobel Prize in Physiology or Medicine 1951,"""for his discoveries concerning yellow fever and how to combat it""",1月1日,352,Individual,Max Theiler,Max Theiler,"theiler, m",1899-01-30,Pretoria,South Africa,Male,"Laboratories of the Division of Medicine and Public Health, Rockefeller Foundation","New York, NY",United States of America,1972/8/11,"New Haven, CT",United States of America
1951,Peace,The Nobel Peace Prize 1951,NA,1月1日,512,Individual,Léon Jouhaux,,,1879-07-01,Paris,France,Male,NA,NA,NA,1954/4/28,Paris,France
1951,Physics,The Nobel Prize in Physics 1951,"""for their pioneer work on the transmutation of atomic nuclei by artificially accelerated atomic particles""",1月2日,56,Individual,Sir John Douglas Cockcroft,John Cockcroft,"cockcroft, jd",1897-05-27,Todmorden,United Kingdom,Male,Atomic Energy Research Establishment,"Harwell, Berkshire",United Kingdom,1967/9/18,Cambridge,United Kingdom
1951,Physics,The Nobel Prize in Physics 1951,"""for their pioneer work on the transmutation of atomic nuclei by artificially accelerated atomic particles""",1月2日,57,Individual,Ernest Thomas Sinton Walton,Ernest T.S. Walton,"walton, ets",1903/10/6,Dungarvan,Ireland,Male,Trinity College,Dublin,Ireland,1995/6/25,Belfast,Northern Ireland
1952,Chemistry,The Nobel Prize in Chemistry 1952,"""for their invention of partition chromatography""",1月2日,214,Individual,Archer John Porter Martin,Archer J.P. Martin,"martin, a",1910/3/1,London,United Kingdom,Male,National Institute for Medical Research,London,United Kingdom,2002/7/28,Llangarron,United Kingdom
1952,Chemistry,The Nobel Prize in Chemistry 1952,"""for their invention of partition chromatography""",1月2日,215,Individual,Richard Laurence Millington Synge,Richard L.M. Synge,"synge, r",1914/10/28,Liverpool,United Kingdom,Male,Rowett Research Institute,Bucksburn (Scotland),United Kingdom,1994/8/18,Norwich,United Kingdom
1952,Literature,The Nobel Prize in Literature 1952,"""for the deep spiritual insight and the artistic intensity with which he has in his novels penetrated the drama of human life""",1月1日,623,Individual,Fran?ois Mauriac,,,1885-10-11,Bordeaux,France,Male,NA,NA,NA,1970/9/1,Paris,France
1952,Medicine,The Nobel Prize in Physiology or Medicine 1952,"""for his discovery of streptomycin, the first antibiotic effective against tuberculosis""",1月1日,353,Individual,Selman Abraham Waksman,Selman A. Waksman,"waksman, sa",1888-07-22,Priluka (Nova Pryluka),Russian Empire (Ukraine),Male,Rutgers University,"New Brunswick, NJ",United States of America,1973/8/16,"Hyannis, MA",United States of America
1952,Peace,The Nobel Peace Prize 1952,NA,1月1日,513,Individual,Albert Schweitzer,,,1875-01-14,Kaysersberg,Germany (France),Male,NA,NA,NA,1965/9/4,Lambaréné,Gabon
1952,Physics,The Nobel Prize in Physics 1952,"""for their development of new methods for nuclear magnetic precision measurements and discoveries in connection therewith""",1月2日,58,Individual,Felix Bloch,Felix Bloch,"bloch, f",1905/10/23,Zurich,Switzerland,Male,Stanford University,"Stanford, CA",United States of America,1983/9/10,Zurich,Switzerland
1952,Physics,The Nobel Prize in Physics 1952,"""for their development of new methods for nuclear magnetic precision measurements and discoveries in connection therewith""",1月2日,59,Individual,Edward Mills Purcell,E. M. Purcell,"purcell, em",1912/8/30,"Taylorville, IL",United States of America,Male,Harvard University,"Cambridge, MA",United States of America,1997/3/7,"Cambridge, MA",United States of America
1953,Chemistry,The Nobel Prize in Chemistry 1953,"""for his discoveries in the field of macromolecular chemistry""",1月1日,216,Individual,Hermann Staudinger,Hermann Staudinger,"staudinger, h",1881-03-23,Worms,Germany,Male,University of Freiburg,Breisgau,Federal Republic of Germany,1965/9/8,Freiburg im Breisgau,West Germany (Germany)
1953,Literature,The Nobel Prize in Literature 1953,"""for his mastery of historical and biographical description as well as for brilliant oratory in defending exalted human values""",1月1日,624,Individual,Sir Winston Leonard Spencer Churchill,,,1874-11-30,Woodstock,United Kingdom,Male,NA,NA,NA,1965/1/24,London,United Kingdom
1953,Medicine,The Nobel Prize in Physiology or Medicine 1953,"""for his discovery of the citric acid cycle""",1月2日,354,Individual,Hans Adolf Krebs,Hans Krebs,"krebs, ha",1900/8/25,Hildesheim,Germany,Male,Sheffield University,Sheffield,United Kingdom,1981/11/22,Oxford,United Kingdom
1953,Medicine,The Nobel Prize in Physiology or Medicine 1953,"""for his discovery of co-enzyme A and its importance for intermediary metabolism""",1月2日,355,Individual,Fritz Albert Lipmann,Fritz Lipmann,"lipmann, f",1899-06-12,Koenigsberg (Kaliningrad),Germany (Russia),Male,Harvard Medical School,"Boston, MA",United States of America,1986/7/24,"Poughkeepsie, NY",United States of America
1953,Peace,The Nobel Peace Prize 1953,NA,1月1日,514,Individual,George Catlett Marshall,,,1880-12-31,"Uniontown, PA",United States of America,Male,NA,NA,NA,1959/10/16,"Washington, DC",United States of America
1953,Physics,The Nobel Prize in Physics 1953,"""for his demonstration of the phase contrast method, especially for his invention of the phase contrast microscope""",1月1日,60,Individual,Frits Zernike,Frits Zernike,"zernike, f",1888-07-16,Amsterdam,Netherlands,Male,Groningen University,Groningen,Netherlands,1966/3/10,Groningen,Netherlands
1954,Chemistry,The Nobel Prize in Chemistry 1954,"""for his research into the nature of the chemical bond and its application to the elucidation of the structure of complex substances""",1月1日,217,Individual,Linus Carl Pauling,Linus Pauling,"pauling, l",1901/2/28,"Portland, OR",United States of America,Male,California Institute of Technology (Caltech),"Pasadena, CA",United States of America,1994/8/19,"Big Sur, CA",United States of America
1954,Literature,The Nobel Prize in Literature 1954,"""for his mastery of the art of narrative, most recently demonstrated in <I>The Old Man and the Sea,</I> and for the influence that he has exerted on contemporary style""",1月1日,625,Individual,Ernest Miller Hemingway,,,1899-07-21,"Oak Park, IL",United States of America,Male,NA,NA,NA,1961/7/2,"Ketchum, ID",United States of America
1954,Medicine,The Nobel Prize in Physiology or Medicine 1954,"""for their discovery of the ability of poliomyelitis viruses to grow in cultures of various types of tissue""",1月3日,356,Individual,John Franklin Enders,John F. Enders,"enders, jf",1897-02-10,"West Hartford, CT",United States of America,Male,Harvard Medical School,"Boston, MA",United States of America,1985/9/8,"Waterford, CT",United States of America
1954,Medicine,The Nobel Prize in Physiology or Medicine 1954,"""for their discovery of the ability of poliomyelitis viruses to grow in cultures of various types of tissue""",1月3日,357,Individual,Thomas Huckle Weller,Thomas H. Weller,"weller, th",1915/6/15,"Ann Arbor, MI",United States of America,Male,"Research Division of Infectious Diseases, Children's Medical Center","Boston, MA",United States of America,2008/8/23,"Needham, MA",United States of America
1954,Medicine,The Nobel Prize in Physiology or Medicine 1954,"""for their discovery of the ability of poliomyelitis viruses to grow in cultures of various types of tissue""",1月3日,358,Individual,Frederick Chapman Robbins,Frederick C. Robbins,"robbins, fc",1916/8/25,"Auburn, AL",United States of America,Male,Western Reserve University,"Cleveland, OH",United States of America,2003/8/4,"Cleveland, OH",United States of America
1954,Peace,The Nobel Peace Prize 1954,NA,1月1日,515,Organization,Office of the United Nations High Commissioner for Refugees (UNHCR),,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1954,Physics,The Nobel Prize in Physics 1954,"""for his fundamental research in quantum mechanics, especially for his statistical interpretation of the wavefunction""",1月2日,61,Individual,Max Born,Max Born,"born, m",1882-12-11,Breslau (Wroclaw),Germany (Poland),Male,Edinburgh University,Edinburgh,United Kingdom,1970/1/5,G?ttingen,West Germany (Germany)
1954,Physics,The Nobel Prize in Physics 1954,"""for the coincidence method and his discoveries made therewith""",1月2日,62,Individual,Walther Bothe,Walther Bothe,"bothe, w",1891-01-08,Oranienburg,Germany,Male,University of Heidelberg,Heidelberg,Federal Republic of Germany,1957/2/8,Heidelberg,West Germany (Germany)
1955,Chemistry,The Nobel Prize in Chemistry 1955,"""for his work on biochemically important sulphur compounds, especially for the first synthesis of a polypeptide hormone""",1月1日,218,Individual,Vincent du Vigneaud,Vincent du Vigneaud,"duvigneaud, v",1901/5/18,"Chicago, IL",United States of America,Male,Cornell University,"Ithaca, NY",United States of America,1978/12/11,"White Plains, NY",United States of America
1955,Literature,The Nobel Prize in Literature 1955,"""for his vivid epic power which has renewed the great narrative art of Iceland""",1月1日,626,Individual,Halldór Kiljan Laxness,,,1902/4/23,Reykjavik,Iceland,Male,NA,NA,NA,1998/2/8,Reykjavik,Iceland
1955,Medicine,The Nobel Prize in Physiology or Medicine 1955,"""for his discoveries concerning the nature and mode of action of oxidation enzymes""",1月1日,359,Individual,Axel Hugo Theodor Theorell,Hugo Theorell,"theorell, h",1903/7/6,Link?ping,Sweden,Male,"Karolinska Institutet, Nobel Medical Institute",Stockholm,Sweden,1982/8/15,Stockholm,Sweden
1955,Physics,The Nobel Prize in Physics 1955,"""for his discoveries concerning the fine structure of the hydrogen spectrum""",1月2日,63,Individual,Willis Eugene Lamb,Willis E. Lamb,"lamb, we",1913/7/12,"Los Angeles, CA",United States of America,Male,Stanford University,"Stanford, CA",United States of America,2008/5/15,"Tucson, AZ",United States of America
1955,Physics,The Nobel Prize in Physics 1955,"""for his precision determination of the magnetic moment of the electron""",1月2日,64,Individual,Polykarp Kusch,Polykarp Kusch,"kusch, p",1911/1/26,Blankenburg,Germany,Male,Columbia University,"New York, NY",United States of America,1993/3/20,"Dallas, TX",United States of America
1956,Chemistry,The Nobel Prize in Chemistry 1956,"""for their researches into the mechanism of chemical reactions""",1月2日,219,Individual,Sir Cyril Norman Hinshelwood,Sir Cyril Hinshelwood,"hinshelwood, c",1897-05-19,London,United Kingdom,Male,University of Oxford,Oxford,United Kingdom,1967/10/9,London,United Kingdom
1956,Chemistry,The Nobel Prize in Chemistry 1956,"""for their researches into the mechanism of chemical reactions""",1月2日,220,Individual,Nikolay Nikolaevich Semenov,Nikolay Semenov,n. n. semenov,1896-04-03,Saratov,Russia,Male,Institute for Chemical Physics of the Academy of Sciences of the USSR,Moscow,Union of Soviet Socialist Republics,1986/9/25,Moscow,Union of Soviet Socialist Republics
1956,Literature,The Nobel Prize in Literature 1956,"""for his lyrical poetry, which in Spanish language constitutes an example of high spirit and artistical purity""",1月1日,627,Individual,Juan Ramón Jiménez,,,1881-12-24,Moguer,Spain,Male,NA,NA,NA,1958/5/29,San Juan,Puerto Rico
1956,Medicine,The Nobel Prize in Physiology or Medicine 1956,"""for their discoveries concerning heart catheterization and pathological changes in the circulatory system""",1月3日,360,Individual,André Frédéric Cournand,,"cournand, a",1895-09-24,Paris,France,Male,"Columbia University Division, Cardio-Pulmonary Laboratory, Bellevue Hospital","New York, NY",United States of America,1988/2/19,"Great Barrington, MA",United States of America
1956,Medicine,The Nobel Prize in Physiology or Medicine 1956,"""for their discoveries concerning heart catheterization and pathological changes in the circulatory system""",1月3日,361,Individual,Werner Forssmann,,,1904/8/29,Berlin,Germany,Male,Mainz University,Mainz,Federal Republic of Germany,1979/6/1,Schopfheim,West Germany (Germany)
1956,Medicine,The Nobel Prize in Physiology or Medicine 1956,"""for their discoveries concerning heart catheterization and pathological changes in the circulatory system""",1月3日,362,Individual,Dickinson W. Richards,Dickinson W. Richards,"richards, dw",1895-10-30,"Orange, NJ",United States of America,Male,Columbia University,"New York, NY",United States of America,1973/2/23,"Lakeville, CT",United States of America
1956,Physics,The Nobel Prize in Physics 1956,"""for their researches on semiconductors and their discovery of the transistor effect""",1月3日,65,Individual,William Bradford Shockley,William B. Shockley,"shockley, w",1910/2/13,London,United Kingdom,Male,"Semiconductor Laboratory of Beckman Instruments, Inc.","Mountain View, CA",United States of America,1989/8/12,"Palo Alto, CA",United States of America
1956,Physics,The Nobel Prize in Physics 1956,"""for their researches on semiconductors and their discovery of the transistor effect""",1月3日,66,Individual,John Bardeen,John Bardeen,"bardeen, j",1908/5/23,"Madison, WI",United States of America,Male,University of Illinois,"Urbana, IL",United States of America,1991/1/30,"Boston, MA",United States of America
1956,Physics,The Nobel Prize in Physics 1956,"""for their researches on semiconductors and their discovery of the transistor effect""",1月3日,67,Individual,Walter Houser Brattain,Walter H. Brattain,"brattain, wh",1902/2/10,Amoy,China,Male,Bell Telephone Laboratories,"Murray Hill, NJ",United States of America,1987/10/13,"Seattle, WA",United States of America
1957,Chemistry,The Nobel Prize in Chemistry 1957,"""for his work on nucleotides and nucleotide co-enzymes""",1月1日,221,Individual,Lord (Alexander R.) Todd,Lord Todd,"todd, a",1907/10/2,Glasgow,Scotland,Male,University of Cambridge,Cambridge,United Kingdom,1997/1/10,Cambridge,United Kingdom
1957,Literature,The Nobel Prize in Literature 1957,"""for his important literary production, which with clear-sighted earnestness illuminates the problems of the human conscience in our times""",1月1日,628,Individual,Albert Camus,,,1913/11/7,Mondovi,French Algeria (Algeria),Male,NA,NA,NA,1960/1/4,Sens,France
1957,Medicine,The Nobel Prize in Physiology or Medicine 1957,"""for his discoveries relating to synthetic compounds that inhibit the action of certain body substances, and especially their action on the vascular system and the skeletal muscles""",1月1日,363,Individual,Daniel Bovet,Daniel Bovet,"bovet, d",1907/3/23,Neuchatel,Switzerland,Male,Istituto Superiore di Sanità (Chief Institute of Public Health),Rome,Italy,1992/4/8,Rome,Italy
1957,Peace,The Nobel Peace Prize 1957,NA,1月1日,516,Individual,Lester Bowles Pearson,,,1897-04-23,Toronto,Canada,Male,NA,NA,NA,1972/12/27,Ottawa,Canada
1957,Physics,The Nobel Prize in Physics 1957,"""for their penetrating investigation of the so-called parity laws which has led to important discoveries regarding the elementary particles""",1月2日,68,Individual,Chen Ning Yang,Chen Ning Yang,"yang, cn",1922/9/22,"Hofei, Anhwei",China,Male,Institute for Advanced Study,"Princeton, NJ",United States of America,NA,NA,NA
1957,Physics,The Nobel Prize in Physics 1957,"""for their penetrating investigation of the so-called parity laws which has led to important discoveries regarding the elementary particles""",1月2日,69,Individual,Tsung-Dao (T.D.) Lee,Tsung-Dao Lee,"lee, td",1926/11/24,Shanghai,China,Male,Columbia University,"New York, NY",United States of America,NA,NA,NA
1958,Chemistry,The Nobel Prize in Chemistry 1958,"""for his work on the structure of proteins, especially that of insulin""",1月1日,222,Individual,Frederick Sanger,Frederick Sanger,"sanger, f",1918/8/13,Rendcombe,United Kingdom,Male,University of Cambridge,Cambridge,United Kingdom,2013/11/19,Cambridge,United Kingdom
1958,Literature,The Nobel Prize in Literature 1958,"""for his important achievement both in contemporary lyrical poetry and in the field of the great Russian epic tradition""",1月1日,629,Individual,Boris Leonidovich Pasternak,,,1890-02-10,Moscow,Russia,Male,NA,NA,NA,1960/5/30,Peredelkino,Russia
1958,Medicine,The Nobel Prize in Physiology or Medicine 1958,"""for their discovery that genes act by regulating definite chemical events""",1月4日,364,Individual,George Wells Beadle,George Beadle,"beadle, gw",1903/10/22,"Wahoo, NE",United States of America,Male,California Institute of Technology (Caltech),"Pasadena, CA",United States of America,1989/6/9,"Pomona, CA",United States of America
1958,Medicine,The Nobel Prize in Physiology or Medicine 1958,"""for their discovery that genes act by regulating definite chemical events""",1月4日,365,Individual,Edward Lawrie Tatum,Edward Tatum,"tatum, el",1909/12/14,"Boulder, CO",United States of America,Male,Rockefeller Institute for Medical Research,"New York, NY",United States of America,1975/11/5,"New York, NY",United States of America
1958,Medicine,The Nobel Prize in Physiology or Medicine 1958,"""for his discoveries concerning genetic recombination and the organization of the genetic material of bacteria""",1月2日,366,Individual,Joshua Lederberg,Joshua Lederberg,"lederberg, j",1925/5/23,"Montclair, NJ",United States of America,Male,University of Wisconsin,"Madison, WI",United States of America,2008/2/2,"New York, NY",United States of America
1958,Peace,The Nobel Peace Prize 1958,NA,1月1日,517,Individual,Georges Pire,,,1910/2/10,Dinant,Belgium,Male,NA,NA,NA,1969/1/30,Leuven,Belgium
1958,Physics,The Nobel Prize in Physics 1958,"""for the discovery and the interpretation of the Cherenkov effect""",1月3日,70,Individual,Pavel Alekseyevich Cherenkov,Pavel A. Cherenkov,"cherenkov, pa",1904/7/28,Novaya Chigla,Russia,Male,P.N. Lebedev Physical Institute,Moscow,Union of Soviet Socialist Republics,1990/1/6,NA,Union of Soviet Socialist Republics
1958,Physics,The Nobel Prize in Physics 1958,"""for the discovery and the interpretation of the Cherenkov effect""",1月3日,71,Individual,Igor Yevgenyevich Tamm,Igor Y. Tamm,"tamm, i",1895-07-08,Vladivostok,Russia,Male,University of Moscow,Moscow,Union of Soviet Socialist Republics,1971/4/12,Moscow,Union of Soviet Socialist Republics (Russia)
